,,,,,,,,
ETF NSE Code,Underlying Asset,CMP,20 DMA,CMP-20 DMA,% Change 20 DMA Vs CMP,Today Buy,,
NSE:TECH,Nifty IT TRI Index,44.2,44.37,-0.17,-0.3876,,,
NSE:NIF100IETF,Nifty 100,29.7,29.34,0.36,1.2339,,,
NSE:INFRABEES,Nifty Infra,990.05,973.19,16.86,1.7328,,,
NSE:MIDSELIETF,S&P BSE Midcap Select Index,19,18.85,0.15,0.7797,,,
NSE:SENSEXIETF,SENSEX,951,939.27,11.73,1.2491,,,
NSE:AXISHCETF,Nifty Healthcare Index,150.84,148.53,2.31,1.5522,,,
NSE:BANKETF,Mirae Asset Nifty Bank ETF,534.93,530.18,4.75,0.8954,,,
NSE:GOLDBEES,Gold,63.6,61.92,1.68,2.7057,,,
NSE:SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,87.65,84.54,3.11,3.6763,,,
NSE:GOLDIETF,Gold,65.58,63.85,1.73,2.7063,,,
NSE:HDFCGOLD,Gold,65.49,63.85,1.64,2.5717,,,
NSE:KOTAKGOLD,Gold,#N/A,#N/A,#N/A,#N/A,,,
NSE:SETFGOLD,Gold,65.56,63.85,1.71,2.6741,,,
NSE:SILVERIETF,Domestic Price of Silver,91.25,87.92,3.33,3.7923,,,
NSE:HDFCSILVER,HDFC Silver ETF,88,84.62,3.38,3.9968,,,
NSE:AXISGOLD,Gold,64,62.27,1.74,2.7865,,,
NSE:SILVER,Physical price of Silver,90.82,87.79,3.03,3.4508,,,
NSE:SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF),88.8,85.53,3.27,3.8202,,,
NSE:GOLDSHARE,Gold,64.2,62.44,1.77,2.8269,,,
NSE:GOLDETF,Mirae Asset Gold ETF,74.58,72.53,2.05,2.8250,,,
NSE:AXISILVER,Axis Silver ETF,91.19,87.54,3.65,4.1671,,,
NSE:DSPBANKETF,DSP Nifty Bank ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:QGOLDHALF,Gold,63.4,61.67,1.73,2.8044,,,
NSE:BSLGOLDETF,Gold,67.29,65.43,1.86,2.8459,,,
NSE:KOTAKSILVE,Kotak Silver ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:DSPGOLDETF,DSP Gold ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:ESILVER,Edelweiss Silver ETF,91.5,88.45,3.05,3.4512,,,
